Default Dataset,,Red DS,
X,Y,X,Y
5989.200239487734,1.2790594198385579e-17,6111.298199504492,1.5821758452201417e-17
6005.127404090494,1.2727331974841428e-17,6112.831396585383,1.5208114883823073e-17
6016.572237741833,1.1823585924210586e-17,6114.154339284919,1.9402400304800783e-17
6034.862985667343,1.18416608452232e-17,6115.70348987808,1.8423944580651124e-17
6052.749823860247,1.1254225912313164e-17,6116.48249158269,1.7833497160905647e-17
6064.7993364654885,1.1285857024085246e-17,6123.310917592996,1.6694777137110803e-17
6139.347951966465,1.4119100892812913e-17,6123.34411565321,1.593563045458089e-17
6142.885323846787,1.688456380774327e-17,6124.886442200661,1.511322154850684e-17
6142.928204674564,1.5903999342808822e-17,6125.683195645802,1.4116841527686333e-17
6142.659853687833,1.5151178882633323e-17,6130.978977876219,1.3579112627560993e-17
6142.8341435039565,1.8054914943310207e-17,6375.103680166276,1.1428197027059595e-17
6156.565345346924,1.4077302637971234e-17,6381.395404203119,1.222846415489321e-17
6160.600638728584,1.3658190406991191e-17,6384.63045457081,1.5912626009655755e-17
6174.660017229293,1.3658190406991191e-17,6383.99269133071,1.4839085246482156e-17
6174.693215289507,1.2899043724461291e-17,6384.023583970076,1.413265708357238e-17
6182.637234448261,1.2084542596330245e-17,6384.059548535308,1.3310248177498317e-17
6200.687642250345,1.2677625942056731e-17,6384.085830332978,1.2709257053828813e-17
6207.320914385849,1.3131005210789878e-17,6385.3515063786435,1.8213070502170603e-17
6220.508751589103,1.239294593610802e-17,6385.395770458928,1.7200874925464062e-17
6225.875632998479,1.3674005962877226e-17,6379.386921560161,1.6821301584199118e-17
6224.104654811303,1.2835781500917128e-17,6398.288790444113,1.1722366366539939e-17
6236.942344696129,1.5511773556835025e-17,6402.7837574970235,1.4152785972881875e-17
6237.136000047379,1.452804598072337e-17,6402.146497257836,1.3067742987245715e-17
6230.467339701853,1.2013372594843064e-17,6402.677205137093,1.2414033343956062e-17
6238.349573581875,1.930961571026935e-17,6403.537127113474,1.5714212672176344e-17
6237.725818917184,1.8263680281005927e-17,6397.540727487287,1.5049959324962676e-17
6237.7590169773985,1.7504533598476027e-17,6412.173325827694,1.112770146522485e-17
6237.792215037613,1.6745386915946127e-17,6412.692875470046,1.3025568171549606e-17
6231.780046332823,1.6441728242934162e-17,6412.726073530261,1.2266421489019706e-17
6237.633970950592,2.036398610267199e-17,6505.777469805615,2.011093720849536e-17
6244.55410660224,1.3683495296408859e-17,6505.0623282585,1.924108163476318e-17
6252.01564728588,1.2993937059777524e-17,6508.858434227159,1.855046902773945e-17
