Wavelength (A),Sky (erg/s/cm^2/A/arcsec^2)
7420.538261,1.10E-17
7420.635026,1.19E-17
7429.484447,1.31E-17
7430.956689,1.39E-17
7431.516445,1.48E-17
7438.048163,1.70E-17
7438.254268,1.92E-17
7438.381527,1.63E-17
7438.986763,1.81E-17
7439.694234,2.07E-17
7439.732965,1.99E-17
7439.916476,1.57E-17
7451.50306,1.48E-17
7452.050828,1.38E-17
7455.137418,1.21E-17
7456.449571,1.65E-17
7456.482769,1.57E-17
7457.780414,1.29E-17
7458.920521,1.74E-17
7465.599787,1.39E-17
7466.066404,1.48E-17
7466.985806,1.67E-17
7467.019004,1.59E-17
7468.428538,1.81E-17
7468.972156,1.72E-17
7469.902624,1.89E-17
7471.364261,1.99E-17
7477.927444,2.14E-17
7480.255347,2.33E-17
7480.291312,2.25E-17
7486.712978,2.03E-17
7487.213799,1.92E-17
7487.864619,2.15E-17
7489.503773,1.85E-17
7490.3358,1.67E-17
7491.052555,1.75E-17
7492.629924,1.59E-17
7494.166718,1.52E-17
7494.199916,1.44E-17
7494.223431,1.39E-17
7496.517555,1.31E-17
7503.334915,1.22E-17
7509.432292,1.06E-17
7511.40481,1.14E-17
7515.371978,1.25E-17
7516.787046,1.46E-17
7516.820244,1.38E-17
7516.853442,1.31E-17
7518.017679,2.09E-17
7518.050878,2.02E-17
7518.084076,1.94E-17
7518.165226,1.75E-17
7518.198424,1.68E-17
7518.231623,1.60E-17
7518.261132,1.53E-17
7518.879215,1.84E-17
7520.9949,2.17E-17
7522.243582,2.27E-17
7523.938,2.33E-17
7525.079645,2.48E-17
7525.112843,2.40E-17
7525.183389,2.93E-17
7525.347073,2.55E-17
7525.749534,3.11E-17
7525.986052,2.66E-17
7526.656552,3.00E-17
7526.724608,2.85E-17
7526.757807,2.77E-17
7535.023386,2.24E-17
7535.874547,2.59E-17
7535.907745,2.52E-17
