Wavelength (A),Transmittance
7395,0.000313049
7400,0.000301739
7405,0.000293113
7410,0.000282621
7415,0.000273859
7420,0.000265211
7425,0.000258262
7430,0.000249235
7435,0.000243534
7440,0.000235296
7445,0.000229082
7450,0.000221823
7455,0.000215891
7460,0.00020951
7465,0.000202767
7470,0.000199369
7475,0.000191956
7480,0.000186677
7485,0.000183593
7490,0.000177786
7495,0.000173287
7500,0.000170186
7505,0.00016561
7510,0.000161048
7515,0.000156455
7520,0.000152556
7525,0.000149313
7530,0.000144188
7535,0.000142165
7540,0.000138499
7545,0.000135971
7550,0.00013161
7555,0.000128915
7560,0.000126513
7565,0.000123265
7570,0.000122957
7575,0.000116593
7580,0.000117233
7585,0.000113304
7590,0.000112516
7595,0.000108431
7600,0.000107187
7605,0.000104145
7610,0.000102217
7615,0.000100499
7620,9.95E-05
7625,9.66E-05
7630,9.42E-05
7635,9.48E-05
7640,9.20E-05
7645,9.01E-05
7650,8.91E-05
7655,8.66E-05
7660,8.65E-05
7665,8.43E-05
7670,8.21E-05
7675,8.13E-05
7680,8.01E-05
7685,7.94E-05
7690,7.81E-05
7695,7.65E-05
7700,7.63E-05
7705,7.55E-05
7710,7.23E-05
7715,7.29E-05
7720,7.09E-05
7725,7.08E-05
7730,6.86E-05
7735,6.87E-05
7740,6.73E-05
7745,6.73E-05
7750,6.55E-05
7755,6.47E-05
7760,6.51E-05
7765,6.38E-05
7770,6.18E-05
7775,6.16E-05
7780,6.15E-05
7785,5.91E-05
7790,6.12E-05
7795,5.91E-05
7800,5.82E-05
7805,5.90E-05
7810,5.65E-05
7815,5.74E-05
7820,5.57E-05
7825,5.58E-05
7830,5.52E-05
7835,5.53E-05
7840,5.30E-05
7845,5.27E-05
7850,5.35E-05
7855,5.34E-05
7860,5.21E-05
7865,5.10E-05
7870,5.20E-05
7875,5.19E-05
7880,5.17E-05
7885,5.00E-05
7890,4.97E-05
7895,4.87E-05
7900,4.91E-05
7905,4.77E-05
7910,4.84E-05
7915,4.96E-05
7920,4.73E-05
7925,4.78E-05
7930,4.88E-05
7935,4.74E-05
7940,4.72E-05
7945,4.59E-05
7950,4.68E-05
7955,4.58E-05
7960,4.61E-05
7965,4.52E-05
7970,4.66E-05
7975,4.53E-05
7980,4.42E-05
7985,4.50E-05
7990,4.53E-05
7995,4.31E-05
8000,4.33E-05
8005,4.47E-05
8010,4.44E-05
8015,4.37E-05
8020,4.34E-05
8025,4.38E-05
8030,4.33E-05
8035,4.32E-05
8040,4.38E-05
8045,4.29E-05
8050,4.28E-05
8055,4.38E-05
8060,4.27E-05
8065,4.35E-05
8070,4.37E-05
8075,4.25E-05
8080,4.34E-05
8085,4.29E-05
8090,4.28E-05
8095,4.23E-05
8100,4.28E-05
8105,4.15E-05
8110,4.21E-05
8115,4.23E-05
8120,4.22E-05
8125,4.21E-05
8130,4.23E-05
8135,4.22E-05
8140,4.26E-05
8145,4.26E-05
8150,4.35E-05
8155,4.48E-05
8160,4.42E-05
8165,4.22E-05
8170,4.31E-05
8175,0.00004376
8180,4.43E-05
8185,4.25E-05
8190,4.33E-05
8195,4.44E-05
8200,0.000044362
8205,4.52E-05
8210,4.67E-05
8215,4.46E-05
8220,4.57E-05
8225,4.53E-05
8230,4.52E-05
8235,4.58E-05
8240,4.59E-05
8245,4.63E-05
8250,4.51E-05
8255,4.67E-05
8260,4.53E-05
8265,4.51E-05
8270,4.83E-05
8275,4.85E-05
8280,4.77E-05
8285,4.75E-05
8290,4.80E-05
8295,4.92E-05
8300,5.16E-05
8305,4.91E-05
8310,4.87E-05
8315,4.80E-05
8320,4.95E-05
8325,5.13E-05
8330,5.01E-05
8335,5.08E-05
8340,5.16E-05
8345,5.27E-05
8350,5.14E-05
8355,5.35E-05
8360,5.29E-05
8365,5.35E-05
8370,5.46E-05
8375,5.46E-05
8380,5.55E-05
8385,5.65E-05
8390,5.52E-05
8395,5.76E-05
8400,5.73E-05
8405,5.64E-05
8410,5.96E-05
8415,5.77E-05
8420,5.99E-05
8425,6.09E-05
8430,6.02E-05
8435,6.13E-05
8440,6.09E-05
8445,6.19E-05
8450,6.33E-05
8455,6.49E-05
8460,6.35E-05
8465,6.44E-05
8470,6.48E-05
8475,6.65E-05
8480,6.72E-05
8485,6.78E-05
8490,6.78E-05
8495,6.42E-05
8500,9.96E-05
8505,0.000100023
8510,9.90E-05
8515,0.000106137
8520,0.000104097
8525,0.000101477
8530,0.000105028
8535,0.000106857
8540,0.000105818
8545,0.000110614
8550,0.000109941
8555,0.000109731
8560,0.000116934
8565,0.000118254
8570,0.000113443
8575,0.000117241
8580,0.000115962
8585,0.000117257
8590,0.000118976
8595,0.000117918
8600,0.000119422
8605,0.000126112
8610,0.000120208
8615,0.000133025
8620,0.000130719
8625,0.000131145
8630,0.000137579
8635,0.000130791
8640,0.000134288
8645,0.000130089
8650,0.000132557
8655,0.000134471
8660,0.00014147
8665,0.000138787
8670,0.000141601
8675,0.000144221
8680,0.000142846
8685,0.000147454
8690,0.000149938
8695,0.000145776
8700,0.000146573
8705,0.000153441
8710,0.000144877
8715,0.000146317
8720,0.000142481
8725,0.000142936
8730,0.000137929
8735,0.000137714
8740,0.000143435
8745,0.000131455
8750,0.000119999
8755,0.000130754
8760,0.000127674
8765,0.000124566
8770,0.00011993
8775,0.000107346
8780,0.000109998
8785,0.000108939
8790,0.000107651
8795,0.000106414
8800,0.000102122
8805,0.000100997
8810,9.38E-05
8815,9.48E-05
